fetched_at,watch,origin,dest,depart_date,currency,min_price,price_level
2026-09-14T07:01:25+00:00,SFO-SGN,SFO,SGN,2026-12-16,USD,1201,typical
2026-09-14T07:01:25+00:00,SFO-SGN,SFO,SGN,2026-12-17,USD,1411,typical
2026-09-14T12:25:26+00:00,LAS-BKK,LAS,BKK,2026-12-16,USD,1252,typical
2026-09-14T12:25:26+00:00,LAS-BKK,LAS,BKK,2026-12-17,USD,1285,typical
2026-09-14T12:25:26+00:00,LAS-CGK,LAS,CGK,2026-12-16,USD,1033,typical
2026-09-14T12:25:26+00:00,LAS-CGK,LAS,CGK,2026-12-17,USD,1360,typical
2026-09-14T12:25:26+00:00,LAS-DAD,LAS,DAD,2026-12-16,USD,1174,typical
2026-09-14T12:25:26+00:00,LAS-DAD,LAS,DAD,2026-12-17,USD,994,typical
2026-09-14T12:25:26+00:00,LAS-HAN,LAS,HAN,2026-12-16,USD,1280,typical
2026-09-14T12:25:26+00:00,LAS-HAN,LAS,HAN,2026-12-17,USD,1296,typical
2026-09-14T12:25:26+00:00,LAS-SGN,LAS,SGN,2026-12-16,USD,1280,typical
2026-09-14T12:25:26+00:00,LAS-SGN,LAS,SGN,2026-12-17,USD,1265,typical
2026-09-14T12:25:26+00:00,LAX-BKK,LAX,BKK,2026-12-16,USD,1062,typical
2026-09-14T12:25:26+00:00,LAX-BKK,LAX,BKK,2026-12-17,USD,1229,typical
2026-09-14T12:25:26+00:00,LAX-CGK,LAX,CGK,2026-12-16,USD,1031,typical
2026-09-14T12:25:26+00:00,LAX-CGK,LAX,CGK,2026-12-17,USD,1001,typical
2026-09-14T12:25:26+00:00,LAX-DAD,LAX,DAD,2026-12-16,USD,1182,typical
2026-09-14T12:25:26+00:00,LAX-DAD,LAX,DAD,2026-12-17,USD,1297,typical
2026-09-14T12:25:26+00:00,LAX-HAN,LAX,HAN,2026-12-16,USD,1086,typical
2026-09-14T12:25:26+00:00,LAX-HAN,LAX,HAN,2026-12-17,USD,1195,typical
2026-09-14T12:25:26+00:00,LAX-SGN,LAX,SGN,2026-12-16,USD,1068,typical
2026-09-14T12:25:26+00:00,LAX-SGN,LAX,SGN,2026-12-17,USD,1194,typical
2026-09-14T12:25:26+00:00,ORD-BKK,ORD,BKK,2026-12-16,USD,1224,typical
2026-09-14T12:25:26+00:00,ORD-BKK,ORD,BKK,2026-12-17,USD,1307,typical
2026-09-14T12:25:26+00:00,ORD-CGK,ORD,CGK,2026-12-16,USD,992,typical
2026-09-14T12:25:26+00:00,ORD-CGK,ORD,CGK,2026-12-17,USD,1118,typical
2026-09-14T12:25:26+00:00,ORD-DAD,ORD,DAD,2026-12-16,USD,1081,typical
2026-09-14T12:25:26+00:00,ORD-DAD,ORD,DAD,2026-12-17,USD,1081,typical
2026-09-14T12:25:26+00:00,ORD-HAN,ORD,HAN,2026-12-16,USD,1303,typical
2026-09-14T12:25:26+00:00,ORD-HAN,ORD,HAN,2026-12-17,USD,1288,typical
2026-09-14T12:25:26+00:00,ORD-SGN,ORD,SGN,2026-12-16,USD,1303,typical
2026-09-14T12:25:26+00:00,ORD-SGN,ORD,SGN,2026-12-17,USD,1477,typical
2026-09-14T12:25:26+00:00,SFO-BKK,SFO,BKK,2026-12-16,USD,1015,typical
2026-09-14T12:25:26+00:00,SFO-BKK,SFO,BKK,2026-12-17,USD,1360,high
2026-09-14T12:25:26+00:00,SFO-CGK,SFO,CGK,2026-12-16,USD,1174,typical
2026-09-14T12:25:26+00:00,SFO-CGK,SFO,CGK,2026-12-17,USD,1329,typical
2026-09-14T12:25:26+00:00,SFO-DAD,SFO,DAD,2026-12-16,USD,1148,typical
2026-09-14T12:25:26+00:00,SFO-DAD,SFO,DAD,2026-12-17,USD,1418,typical
2026-09-14T12:25:26+00:00,SFO-HAN,SFO,HAN,2026-12-16,USD,1201,typical
2026-09-14T12:25:26+00:00,SFO-HAN,SFO,HAN,2026-12-17,USD,1368,typical
2026-09-14T12:25:26+00:00,SFO-SGN,SFO,SGN,2026-12-16,USD,1201,typical
2026-09-14T12:25:26+00:00,SFO-SGN,SFO,SGN,2026-12-17,USD,1368,typical
2026-09-14T15:15:12+00:00,LAS-BKK,LAS,BKK,2026-12-16,USD,1252,typical
2026-09-14T15:15:12+00:00,LAS-BKK,LAS,BKK,2026-12-17,USD,1285,typical
2026-09-14T15:15:12+00:00,LAS-CGK,LAS,CGK,2026-12-16,USD,1033,typical
2026-09-14T15:15:12+00:00,LAS-CGK,LAS,CGK,2026-12-17,USD,1360,typical
2026-09-14T15:15:12+00:00,LAS-DAD,LAS,DAD,2026-12-16,USD,1174,typical
2026-09-14T15:15:12+00:00,LAS-DAD,LAS,DAD,2026-12-17,USD,994,typical
2026-09-14T15:15:12+00:00,LAS-HAN,LAS,HAN,2026-12-16,USD,1280,typical
2026-09-14T15:15:12+00:00,LAS-HAN,LAS,HAN,2026-12-17,USD,1296,typical
2026-09-14T15:15:12+00:00,LAS-SGN,LAS,SGN,2026-12-16,USD,1280,typical
2026-09-14T15:15:12+00:00,LAS-SGN,LAS,SGN,2026-12-17,USD,1265,typical
2026-09-14T15:15:12+00:00,LAX-BKK,LAX,BKK,2026-12-16,USD,1218,typical
2026-09-14T15:15:12+00:00,LAX-BKK,LAX,BKK,2026-12-17,USD,1049,typical
2026-09-14T15:15:12+00:00,LAX-CGK,LAX,CGK,2026-12-16,USD,929,typical
2026-09-14T15:15:12+00:00,LAX-CGK,LAX,CGK,2026-12-17,USD,1001,typical
2026-09-14T15:15:12+00:00,LAX-DAD,LAX,DAD,2026-12-16,USD,1182,typical
2026-09-14T15:15:12+00:00,LAX-DAD,LAX,DAD,2026-12-17,USD,1297,typical
2026-09-14T15:15:12+00:00,LAX-HAN,LAX,HAN,2026-12-16,USD,1086,typical
2026-09-14T15:15:12+00:00,LAX-HAN,LAX,HAN,2026-12-17,USD,1123,typical
2026-09-14T15:15:12+00:00,LAX-SGN,LAX,SGN,2026-12-16,USD,1068,typical
2026-09-14T15:15:12+00:00,LAX-SGN,LAX,SGN,2026-12-17,USD,1194,typical
2026-09-14T15:15:12+00:00,ORD-BKK,ORD,BKK,2026-12-16,USD,1224,typical
2026-09-14T15:15:12+00:00,ORD-BKK,ORD,BKK,2026-12-17,USD,1307,typical
2026-09-14T15:15:12+00:00,ORD-CGK,ORD,CGK,2026-12-16,USD,992,typical
2026-09-14T15:15:12+00:00,ORD-CGK,ORD,CGK,2026-12-17,USD,1118,typical
2026-09-14T15:15:12+00:00,ORD-DAD,ORD,DAD,2026-12-16,USD,1081,typical
2026-09-14T15:15:12+00:00,ORD-DAD,ORD,DAD,2026-12-17,USD,1081,typical
2026-09-14T15:15:12+00:00,ORD-HAN,ORD,HAN,2026-12-16,USD,1303,typical
2026-09-14T15:15:12+00:00,ORD-HAN,ORD,HAN,2026-12-17,USD,1288,typical
2026-09-14T15:15:12+00:00,ORD-SGN,ORD,SGN,2026-12-16,USD,1303,typical
2026-09-14T15:15:12+00:00,ORD-SGN,ORD,SGN,2026-12-17,USD,1477,typical
2026-09-14T15:15:12+00:00,SFO-BKK,SFO,BKK,2026-12-16,USD,1015,typical
2026-09-14T15:15:12+00:00,SFO-BKK,SFO,BKK,2026-12-17,USD,1360,high
2026-09-14T15:15:12+00:00,SFO-CGK,SFO,CGK,2026-12-16,USD,1174,typical
2026-09-14T15:15:12+00:00,SFO-CGK,SFO,CGK,2026-12-17,USD,1329,typical
2026-09-14T15:15:12+00:00,SFO-DAD,SFO,DAD,2026-12-16,USD,1148,typical
2026-09-14T15:15:12+00:00,SFO-DAD,SFO,DAD,2026-12-17,USD,1263,high
2026-09-14T15:15:12+00:00,SFO-HAN,SFO,HAN,2026-12-16,USD,1201,typical
2026-09-14T15:15:12+00:00,SFO-HAN,SFO,HAN,2026-12-17,USD,1522,typical
2026-09-14T15:15:12+00:00,SFO-SGN,SFO,SGN,2026-12-16,USD,1201,typical
2026-09-14T15:15:12+00:00,SFO-SGN,SFO,SGN,2026-12-17,USD,1368,typical
2026-09-14T15:25:39+00:00,LAS-BKK,LAS,BKK,2026-12-16,USD,1252,typical
2026-09-14T15:25:39+00:00,LAS-BKK,LAS,BKK,2026-12-17,USD,1285,typical
2026-09-14T15:25:39+00:00,LAS-CGK,LAS,CGK,2026-12-16,USD,1033,typical
2026-09-14T15:25:39+00:00,LAS-CGK,LAS,CGK,2026-12-17,USD,1360,typical
2026-09-14T15:25:39+00:00,LAS-DAD,LAS,DAD,2026-12-16,USD,1174,typical
2026-09-14T15:25:39+00:00,LAS-DAD,LAS,DAD,2026-12-17,USD,994,typical
2026-09-14T15:25:39+00:00,LAS-HAN,LAS,HAN,2026-12-16,USD,1280,typical
2026-09-14T15:25:39+00:00,LAS-HAN,LAS,HAN,2026-12-17,USD,1296,typical
2026-09-14T15:25:39+00:00,LAS-SGN,LAS,SGN,2026-12-16,USD,1280,typical
2026-09-14T15:25:39+00:00,LAS-SGN,LAS,SGN,2026-12-17,USD,1265,typical
2026-09-14T15:25:39+00:00,LAX-BKK,LAX,BKK,2026-12-16,USD,1218,typical
2026-09-14T15:25:39+00:00,LAX-BKK,LAX,BKK,2026-12-17,USD,1049,typical
2026-09-14T15:25:39+00:00,LAX-CGK,LAX,CGK,2026-12-16,USD,929,typical
2026-09-14T15:25:39+00:00,LAX-CGK,LAX,CGK,2026-12-17,USD,1001,typical
2026-09-14T15:25:39+00:00,LAX-DAD,LAX,DAD,2026-12-16,USD,1182,typical
2026-09-14T15:25:39+00:00,LAX-DAD,LAX,DAD,2026-12-17,USD,1297,typical
2026-09-14T15:25:39+00:00,LAX-HAN,LAX,HAN,2026-12-16,USD,1086,typical
2026-09-14T15:25:39+00:00,LAX-HAN,LAX,HAN,2026-12-17,USD,1245,typical
2026-09-14T15:25:39+00:00,LAX-SGN,LAX,SGN,2026-12-16,USD,1068,typical
2026-09-14T15:25:39+00:00,LAX-SGN,LAX,SGN,2026-12-17,USD,1194,typical
2026-09-14T15:25:39+00:00,ORD-BKK,ORD,BKK,2026-12-16,USD,1224,typical
2026-09-14T15:25:39+00:00,ORD-BKK,ORD,BKK,2026-12-17,USD,1307,typical
2026-09-14T15:25:39+00:00,ORD-CGK,ORD,CGK,2026-12-16,USD,992,typical
2026-09-14T15:25:39+00:00,ORD-CGK,ORD,CGK,2026-12-17,USD,1118,typical
2026-09-14T15:25:39+00:00,ORD-DAD,ORD,DAD,2026-12-16,USD,1081,typical
2026-09-14T15:25:39+00:00,ORD-DAD,ORD,DAD,2026-12-17,USD,1081,typical
2026-09-14T15:25:39+00:00,ORD-HAN,ORD,HAN,2026-12-16,USD,1303,typical
2026-09-14T15:25:39+00:00,ORD-HAN,ORD,HAN,2026-12-17,USD,1288,typical
2026-09-14T15:25:39+00:00,ORD-SGN,ORD,SGN,2026-12-16,USD,1303,typical
2026-09-14T15:25:39+00:00,ORD-SGN,ORD,SGN,2026-12-17,USD,1477,typical
2026-09-14T15:25:39+00:00,SFO-BKK,SFO,BKK,2026-12-16,USD,1015,typical
2026-09-14T15:25:39+00:00,SFO-BKK,SFO,BKK,2026-12-17,USD,1360,high
2026-09-14T15:25:39+00:00,SFO-CGK,SFO,CGK,2026-12-16,USD,1174,typical
2026-09-14T15:25:39+00:00,SFO-CGK,SFO,CGK,2026-12-17,USD,1329,typical
2026-09-14T15:25:39+00:00,SFO-DAD,SFO,DAD,2026-12-16,USD,1148,typical
2026-09-14T15:25:39+00:00,SFO-DAD,SFO,DAD,2026-12-17,USD,1263,high
2026-09-14T15:25:39+00:00,SFO-HAN,SFO,HAN,2026-12-16,USD,1201,typical
2026-09-14T15:25:39+00:00,SFO-HAN,SFO,HAN,2026-12-17,USD,1522,typical
2026-09-14T15:25:39+00:00,SFO-SGN,SFO,SGN,2026-12-16,USD,1201,typical
2026-09-14T15:25:39+00:00,SFO-SGN,SFO,SGN,2026-12-17,USD,1368,typical
2026-09-14T15:32:16+00:00,LAS-BKK,LAS,BKK,2026-12-16,USD,868,typical
2026-09-14T15:32:16+00:00,LAS-BKK,LAS,BKK,2026-12-17,USD,911,typical
2026-09-14T15:32:16+00:00,LAS-CGK,LAS,CGK,2026-12-16,USD,932,typical
2026-09-14T15:32:16+00:00,LAS-CGK,LAS,CGK,2026-12-17,USD,1146,typical
2026-09-14T15:32:16+00:00,LAS-DAD,LAS,DAD,2026-12-16,USD,825,typical
2026-09-14T15:32:16+00:00,LAS-DAD,LAS,DAD,2026-12-17,USD,825,typical
2026-09-14T15:32:16+00:00,LAS-HAN,LAS,HAN,2026-12-16,USD,1074,typical
2026-09-14T15:32:16+00:00,LAS-HAN,LAS,HAN,2026-12-17,USD,775,typical
2026-09-14T15:32:16+00:00,LAS-SGN,LAS,SGN,2026-12-16,USD,1038,typical
2026-09-14T15:32:16+00:00,LAS-SGN,LAS,SGN,2026-12-17,USD,725,typical
2026-09-14T15:32:16+00:00,LAX-BKK,LAX,BKK,2026-12-16,USD,1039,typical
2026-09-14T15:32:16+00:00,LAX-BKK,LAX,BKK,2026-12-17,USD,692,typical
2026-09-14T15:32:16+00:00,LAX-CGK,LAX,CGK,2026-12-16,USD,741,typical
2026-09-14T15:32:16+00:00,LAX-CGK,LAX,CGK,2026-12-17,USD,1001,typical
2026-09-14T15:32:16+00:00,LAX-DAD,LAX,DAD,2026-12-16,USD,1113,typical
2026-09-14T15:32:16+00:00,LAX-DAD,LAX,DAD,2026-12-17,USD,1132,typical
2026-09-14T15:32:16+00:00,LAX-HAN,LAX,HAN,2026-12-16,USD,819,typical
2026-09-14T15:32:16+00:00,LAX-HAN,LAX,HAN,2026-12-17,USD,1020,typical
2026-09-14T15:32:16+00:00,LAX-SGN,LAX,SGN,2026-12-16,USD,1037,typical
2026-09-14T15:32:16+00:00,LAX-SGN,LAX,SGN,2026-12-17,USD,1015,typical
2026-09-14T15:32:16+00:00,ORD-BKK,ORD,BKK,2026-12-16,USD,1224,typical
2026-09-14T15:32:16+00:00,ORD-BKK,ORD,BKK,2026-12-17,USD,1307,typical
2026-09-14T15:32:16+00:00,ORD-CGK,ORD,CGK,2026-12-16,USD,992,typical
2026-09-14T15:32:16+00:00,ORD-CGK,ORD,CGK,2026-12-17,USD,1118,typical
2026-09-14T15:32:16+00:00,ORD-DAD,ORD,DAD,2026-12-16,USD,866,typical
2026-09-14T15:32:16+00:00,ORD-DAD,ORD,DAD,2026-12-17,USD,866,typical
2026-09-14T15:32:16+00:00,ORD-HAN,ORD,HAN,2026-12-16,USD,775,typical
2026-09-14T15:32:16+00:00,ORD-HAN,ORD,HAN,2026-12-17,USD,931,typical
2026-09-14T15:32:16+00:00,ORD-SGN,ORD,SGN,2026-12-16,USD,981,typical
2026-09-14T15:32:16+00:00,ORD-SGN,ORD,SGN,2026-12-17,USD,981,typical
2026-09-14T15:32:16+00:00,SFO-BKK,SFO,BKK,2026-12-16,USD,1015,typical
2026-09-14T15:32:16+00:00,SFO-BKK,SFO,BKK,2026-12-17,USD,1360,high
2026-09-14T15:32:16+00:00,SFO-CGK,SFO,CGK,2026-12-16,USD,955,typical
2026-09-14T15:32:16+00:00,SFO-CGK,SFO,CGK,2026-12-17,USD,1329,typical
2026-09-14T15:32:16+00:00,SFO-DAD,SFO,DAD,2026-12-16,USD,808,typical
2026-09-14T15:32:16+00:00,SFO-DAD,SFO,DAD,2026-12-17,USD,1195,typical
2026-09-14T15:32:16+00:00,SFO-HAN,SFO,HAN,2026-12-16,USD,1164,typical
2026-09-14T15:32:16+00:00,SFO-HAN,SFO,HAN,2026-12-17,USD,856,typical
2026-09-14T15:32:16+00:00,SFO-SGN,SFO,SGN,2026-12-16,USD,1201,typical
2026-09-14T15:32:16+00:00,SFO-SGN,SFO,SGN,2026-12-17,USD,856,typical
2026-09-14T18:08:10+00:00,LAS-SGN,LAS,SGN,2026-12-16,USD,1036,typical
2026-09-14T18:08:10+00:00,LAS-SGN,LAS,SGN,2026-12-17,USD,725,typical
2026-09-14T18:08:10+00:00,LAS-HAN,LAS,HAN,2026-12-16,USD,673,typical
2026-09-14T18:08:10+00:00,LAS-HAN,LAS,HAN,2026-12-17,USD,673,typical
2026-09-14T18:08:10+00:00,LAS-DAD,LAS,DAD,2026-12-16,USD,825,typical
2026-09-14T18:08:10+00:00,LAS-DAD,LAS,DAD,2026-12-17,USD,825,typical
2026-09-14T18:08:10+00:00,LAS-CGK,LAS,CGK,2026-12-16,USD,932,typical
2026-09-14T18:08:10+00:00,LAS-CGK,LAS,CGK,2026-12-17,USD,1146,typical
2026-09-14T18:08:10+00:00,LAS-BKK,LAS,BKK,2026-12-16,USD,868,typical
2026-09-14T18:08:10+00:00,LAS-BKK,LAS,BKK,2026-12-17,USD,911,typical
2026-09-14T18:08:10+00:00,SFO-SGN,SFO,SGN,2026-12-16,USD,1201,typical
2026-09-14T18:08:10+00:00,SFO-SGN,SFO,SGN,2026-12-17,USD,653,typical
2026-09-14T18:08:10+00:00,SFO-HAN,SFO,HAN,2026-12-16,USD,1164,typical
2026-09-14T18:08:10+00:00,SFO-HAN,SFO,HAN,2026-12-17,USD,856,typical
2026-09-14T18:08:10+00:00,SFO-DAD,SFO,DAD,2026-12-16,USD,808,typical
2026-09-14T18:08:10+00:00,SFO-DAD,SFO,DAD,2026-12-17,USD,1195,typical
2026-09-14T18:08:10+00:00,SFO-CGK,SFO,CGK,2026-12-16,USD,955,typical
2026-09-14T18:08:10+00:00,SFO-CGK,SFO,CGK,2026-12-17,USD,1329,typical
2026-09-14T18:08:10+00:00,SFO-BKK,SFO,BKK,2026-12-16,USD,1015,typical
2026-09-14T18:08:10+00:00,SFO-BKK,SFO,BKK,2026-12-17,USD,1360,high
2026-09-14T18:08:10+00:00,LAX-SGN,LAX,SGN,2026-12-16,USD,1037,typical
2026-09-14T18:08:10+00:00,LAX-SGN,LAX,SGN,2026-12-17,USD,1015,typical
2026-09-14T18:08:10+00:00,LAX-HAN,LAX,HAN,2026-12-16,USD,819,typical
2026-09-14T18:08:10+00:00,LAX-HAN,LAX,HAN,2026-12-17,USD,741,typical
2026-09-14T18:08:10+00:00,LAX-DAD,LAX,DAD,2026-12-16,USD,1113,typical
2026-09-14T18:08:10+00:00,LAX-DAD,LAX,DAD,2026-12-17,USD,1132,typical
2026-09-14T18:08:10+00:00,LAX-CGK,LAX,CGK,2026-12-16,USD,741,typical
2026-09-14T18:08:10+00:00,LAX-CGK,LAX,CGK,2026-12-17,USD,669,typical
2026-09-14T18:08:10+00:00,LAX-BKK,LAX,BKK,2026-12-16,USD,1038,typical
2026-09-14T18:08:10+00:00,LAX-BKK,LAX,BKK,2026-12-17,USD,1049,typical
2026-09-14T18:08:10+00:00,ORD-SGN,ORD,SGN,2026-12-16,USD,981,typical
2026-09-14T18:08:10+00:00,ORD-SGN,ORD,SGN,2026-12-17,USD,981,typical
2026-09-14T18:08:10+00:00,ORD-HAN,ORD,HAN,2026-12-16,USD,775,typical
2026-09-14T18:08:10+00:00,ORD-HAN,ORD,HAN,2026-12-17,USD,931,typical
2026-09-14T18:08:10+00:00,ORD-DAD,ORD,DAD,2026-12-16,USD,866,typical
2026-09-14T18:08:10+00:00,ORD-DAD,ORD,DAD,2026-12-17,USD,866,typical
2026-09-14T18:08:10+00:00,ORD-CGK,ORD,CGK,2026-12-16,USD,992,typical
2026-09-14T18:08:10+00:00,ORD-CGK,ORD,CGK,2026-12-17,USD,1118,typical
2026-09-14T18:08:10+00:00,ORD-BKK,ORD,BKK,2026-12-16,USD,1224,typical
2026-09-14T18:08:10+00:00,ORD-BKK,ORD,BKK,2026-12-17,USD,1307,typical
2026-09-14T21:56:42+00:00,LAS-SGN,LAS,SGN,2026-12-16,USD,1036,typical
2026-09-14T21:56:42+00:00,LAS-SGN,LAS,SGN,2026-12-17,USD,894,typical
2026-09-14T21:56:42+00:00,LAS-HAN,LAS,HAN,2026-12-16,USD,673,typical
2026-09-14T21:56:42+00:00,LAS-HAN,LAS,HAN,2026-12-17,USD,645,typical
2026-09-14T21:56:42+00:00,LAS-DAD,LAS,DAD,2026-12-16,USD,825,typical
